X_cm-1,subtracted_Y,subtracted_E,pureMeOH_raw_Y,pureMeOH_raw_E,emptyAlcan_Y,emptyAlcan_E
-7.521119999999999806e+00,6.961732000000000475e-01,3.109310669402625196e-02,7.501740000000000075e-01,3.085109999999999936e-02,5.400080000000000158e-02,3.871809999999999835e-03
-7.400140000000000384e+00,6.379614000000000118e-01,2.992899673468691138e-02,6.936790000000000456e-01,2.966819999999999874e-02,5.571759999999999907e-02,3.942430000000000240e-03
-7.279149999999999565e+00,7.623571000000000097e-01,3.236888254049095220e-02,8.139060000000000183e-01,3.214700000000000196e-02,5.154890000000000166e-02,3.783509999999999911e-03
-7.158170000000000144e+00,7.853808999999999374e-01,3.316330142441943629e-02,8.505549999999999500e-01,3.288869999999999988e-02,6.517409999999999870e-02,4.258869999999999670e-03
-7.037189999999999834e+00,7.383513000000000437e-01,3.209288387555721267e-02,7.973190000000000000e-01,3.183640000000000081e-02,5.896769999999999790e-02,4.049299999999999601e-03
-6.916199999999999903e+00,8.329104999999999981e-01,3.409282197912047452e-02,9.009930000000000438e-01,3.381309999999999871e-02,6.808250000000000413e-02,4.358299999999999848e-03
-6.795219999999999594e+00,8.596305999999999115e-01,3.433513042157988054e-02,9.148309999999999498e-01,3.411109999999999837e-02,5.520039999999999669e-02,3.915870000000000115e-03
-6.674240000000000173e+00,8.378687000000000218e-01,3.424984290160174721e-02,9.071339999999999959e-01,3.396559999999999857e-02,6.926530000000000187e-02,4.403380000000000141e-03
-6.553259999999999863e+00,8.263359000000000121e-01,3.381243241048476067e-02,8.887979999999999769e-01,3.355500000000000149e-02,6.246209999999999957e-02,4.164440000000000155e-03
-6.432269999999999932e+00,9.038253000000000537e-01,3.545078064697588377e-02,9.744000000000000439e-01,3.517279999999999712e-02,7.057470000000000410e-02,4.430800000000000363e-03
-6.311289999999999623e+00,9.408959999999999546e-01,3.577403703529837692e-02,9.971299999999999608e-01,3.555409999999999821e-02,5.623399999999999926e-02,3.960769999999999742e-03
-6.190310000000000201e+00,9.302018999999999149e-01,3.576694689895127538e-02,9.935629999999999740e-01,3.551900000000000196e-02,6.336110000000000353e-02,4.204180000000000070e-03
-6.069320000000000270e+00,1.027085199999999920e+00,3.754624430881069869e-02,1.097239999999999993e+00,3.728639999999999732e-02,7.015480000000000327e-02,4.409630000000000320e-03
-5.948339999999999961e+00,1.017754999999999965e+00,3.761566284392846293e-02,1.098330000000000028e+00,3.731600000000000195e-02,8.057499999999999385e-02,4.738589999999999990e-03
-5.827359999999999651e+00,1.061181200000000047e+00,3.839467234063079909e-02,1.143420000000000103e+00,3.809509999999999980e-02,8.223880000000000079e-02,4.786880000000000301e-03
-5.706369999999999720e+00,1.044512600000000013e+00,3.789775639410465635e-02,1.119429999999999925e+00,3.762309999999999960e-02,7.491739999999999511e-02,4.554370000000000293e-03
-5.585390000000000299e+00,1.106205300000000058e+00,3.922747677982997561e-02,1.193640000000000034e+00,3.891639999999999683e-02,8.743470000000000408e-02,4.930389999999999773e-03
